"Rank","Name","MLB ID","FV","ETA","Position","Team"
"435","Wilberson De Pena","821648","40","2031","RF","NYY"
"436","Jeyson Horton","836588","40","2031","SS","Los Angeles Angels"
"437","Noah Miller","695653","40","2026","SS","Los Angeles Dodgers"
"438","Barrett Kent","806010","40","2028","RHP","Los Angeles Angels"
"439","Landyn Vidourek","811716","40","2028","OF","Los Angeles Dodgers"
"440","Jacob Steinmetz","700255","40","2029","SP","ARI"
"441","Yohendrick Pinango","682818","40","2026","LF","TOR"
"442","Blaze Jordan","691458","40","2026","1B/3B","St. Louis Cardinals"
"443","Peyton Olejnik","803021","40","2027","RHP","Los Angeles Angels"
"444","Starlyn Caba","806965","50","2028","SS/2B","Miami Marlins"
"445","Braden Nett","804556","50","2026","RHP","Athletics"
"446","Wehiwa Aloy","814450","50","2028","SS","Baltimore Orioles"
"447","Miguel Mendez","700280","50","2026","RHP","San Diego Padres"
"448","Brailyn Antunez","829073","40","2031","CF","MIL"
"449","Keaton Anthony","805704","40","2026","1B","Philadelphia Phillies"
"450","Wei-En Lin","827734","50","2027","LHP","Athletics"
"451","Ethan Conrad","828255","50","2028","OF","Chicago Cubs"
"452","Gavin Fien","815818","50","2029","INF","Washington Nationals"
"453","Ike Irish","702610","50","2028","C/OF/1B","Baltimore Orioles"
"454","Petey Halpin","690984","40","2026","CF","CLE"
"455","Luis Guanipa","806994","40","2028","OF","Atlanta Braves"
"456","Ky Bush","681066","40","2026","SP","CHW"
"457","Sam Aldegheri","691951","40","2026","LHP","Los Angeles Angels"
"458","RJ Schreck","702302","40","2027","RF","TOR"
"459","Samuel Zavala","694214","40","2028","CF","CHW"
"460","Ty Madden","680744","40","2026","RHP","Detroit Tigers"
"461","Alimber Santa","695001","40","2026","RHP","Houston Astros"
"462","Kaeden Kent","809763","40","2028","SS","New York Yankees"
"463","George Valera","671655","40","2026","OF",""
"464","Antonio Jimenez","806128","40","2028","SS","New York Mets"
"465","Jared Thomas","703606","50","2027","OF","Colorado Rockies"
"466","Marek Houston","701339","50","2028","SS","Minnesota Twins"
"467","Humberto Cruz","814232","50","2029","RHP","San Diego Padres"
"468","Carter Holton","692290","40","2026","SP","ATL"
"469","Daniel Dickinson","823658","40","2028","2B/SS","Milwaukee Brewers"
"470","Cam Cannarella","703448","50","2028","OF","Miami Marlins"
"471","Kash Mayfield","824026","50","2028","LHP","San Diego Padres"
"472","Aidan Smith","806223","50","2027","OF","Tampa Bay Rays"
"473","Caden Bodine","805207","50","2029","C","Tampa Bay Rays"
"474","David Shields","815789","50","2029","LHP","Kansas City Royals"
"475","Antwone Kelly","699008","45","2026","RHP","Pittsburgh Pirates"
"476","Capri Ortiz","800194","40","2027","SS","LAA"
"477","José Rodríguez","689487","40","2026","SIRP","LAD"
"478","Slade Caldwell","815154","40","2028","CF","ARI"
"479","Kyle Lodise","827517","40","2029","SS","CHW"
"480","César Prieto","693409","40","2026","2B","STL"
"481","Gavin Conticello","695521","40","2026","RF","ARI"
"482","Diego Frontado","836601","39","2031","SS","Milwaukee Brewers"
"483","Alirio Ferrebus","808232","40","2028","C/1B","Philadelphia Phillies"
"484","Ethan Dorchies","828475","39","2029","RHP","Milwaukee Brewers"
"485","Kane Kepley","823807","50","2028","OF","Chicago Cubs"
"486","Jonathon Long","675085","50","2026","1B","Chicago Cubs"
"487","Marco Vargas","804614","40","2028","2B/SS","New York Mets"
"488","Jacob Cozart","695524","40","2027","C","Cleveland Guardians"
"489","Brock Selvidge","691795","40","2027","LHP","New York Yankees"
"490","Randy Guzman","807383","40","2028","1B/OF","New York Mets"
"491","Nate Dohm","702296","37","2026","SP","STL"
"492","Jhonan Coba","826173","37","2030","SP","DET"
"493","Enrique Bradfield Jr.","690961","50","2026","OF","Baltimore Orioles"
"494","Henry Bolte","703607","50","2026","OF","Athletics"
"495","Nathan Flewelling","807083","50","2028","C","Tampa Bay Rays"
"496","Kemp Alderman","694580","50","2026","OF","Miami Marlins"
"497","Andrew Morris","702193","45","2026","RHP","Minnesota Twins"
"498","Landon Harmon","816102","45","2029","RHP","Washington Nationals"
"499","Kendry Rojas","696070","50","2026","LHP","Minnesota Twins"
"500","Braxton Bragg","688867","45","2027","RHP","Baltimore Orioles"
"501","Jose Urbina","808250","45","2028","RHP","Tampa Bay Rays"
"502","Tyson Neighbors","695695","45","2026","RHP","Baltimore Orioles"
"503","Eric Hartman","807080","40","2029","OF","Atlanta Braves"
"504","Jeral Perez","800419","40","2028","2B","CHW"
"505","Jose Devers","691410","40","2027","SS","CLE"
"506","Kristian Robinson","677565","40","2026","RF","ARI"
"507","Zach Cole","805904","40","2026","OF",""
"508","Fernando Graterol","836608","40","2032","C","CHW"
"509","Joendry Vargas","806959","40","2029","SS","Los Angeles Dodgers"
"510","Yu-Min Lin","801179","40","2026","SP","ARI"
"511","John Peck","807726","40","2027","SS","Detroit Tigers"
"512","Ryan Ward","669899","40","2026","OF/1B","Los Angeles Dodgers"
"513","Sean Keys","815873","40","2027","3B","TOR"
"514","Kendri Fana","","37","2032","RHP","LAA"
"515","Blake Larson","820836","37","2029","SP","CHW"
"516","Gabriel Gonzalez","694224","50","2026","OF","Minnesota Twins"
"517","Miguel Sime Jr.","828137","45","2029","RHP","Washington Nationals"
"518","Victor Valdez","836590","45","2031","SS","Tampa Bay Rays"
"519","JB Middleton","822477","45","2028","RHP","Colorado Rockies"
"520","Brody Brecht","701679","45","2027","RHP","Colorado Rockies"
"521","Jackson Strong","825924","40","2028","OF","Detroit Tigers"
"522","Gage Workman","669398","40","2026","3B","DET"
"523","Steven Zobac","686632","45","2026","RHP","Kansas City Royals"
"524","Tanner Murray","695020","40","2026","UTIL","CHW"
"525","Alexander Frias","825484","37","2031","RF","MIL"
"526","Joe Elbis","692544","37","2027","SP","ARI"
"527","River Hamilton","821932","37","2031","SP","DET"
"528","Branneli Franco","815919","37","2030","SP","STL"
"529","Carlos Gutierrez","806872","45","2028","OF","San Francisco Giants"
"530","Levi Wells","694370","45","2026","RHP","Baltimore Orioles"
"531","Devin Taylor","805127","45","2028","OF","Athletics"
"532","Bradgley Rodriguez","683637","45","2026","RHP",""
"533","Riley Quick","804981","45","2028","RHP","Minnesota Twins"
"534","Sean Youngerman","823781","45","2028","RHP","Philadelphia Phillies"
"535","Dalton Pence","701717","45","2027","LHP","Texas Rangers"
"536","Izack Tiger","806094","45","2027","RHP","Texas Rangers"
"537","Cutter Coffey","702690","40","2028","3B","TOR"
"538","Kehden Hettiger","800607","40","2028","C/1B","Philadelphia Phillies"
"539","Joseph Montalvo","702477","37","2026","SP","DET"
"540","Samuel Gonzalez","828416","37","2029","SP","ARI"
"541","Joseph Dzierwa","804530","45","2028","LHP","Baltimore Orioles"
"542","Felix Arronde","702373","45","2028","RHP","Kansas City Royals"
"543","Kaleb Wing","832453","45","2029","RHP","Chicago Cubs"
"544","Argenis Cayama","821783","45","2029","RHP","San Francisco Giants"
"545","Griffin Burkholder","816120","39","2028","OF","Philadelphia Phillies"
"546","Will Bush","813844","40","2027","C/1B","Houston Astros"
"547","Deivi Villafana","812151","38","2028","RHP","Cincinnati Reds"
"548","Levi Sterling","815552","45","2028","RHP","Pittsburgh Pirates"
"549","Michael Lombardi","813533","45","2028","RHP","Kansas City Royals"
"550","Dean Moss","815830","45","2029","OF","Tampa Bay Rays"
"551","Blade Tidwell","694918","45","2026","RHP","San Francisco Giants"
"552","Ryan Gallagher","801594","45","2027","RHP","Minnesota Twins"
"553","Devin Fitz-Gerald","803849","45","2028","INF","Washington Nationals"
"554","Quentin Young","815839","45","2029","SS/3B","Minnesota Twins"
"555","Sean Sullivan","807743","45","2026","LHP","Colorado Rockies"
"556","Welinton Herrera","700327","45","2026","LHP","Colorado Rockies"
"557","Nestor German","815148","45","2026","RHP","Baltimore Orioles"
"558","Dexters Peralta","820996","37","2030","SS","NYY"
"559","Will Hynes","807077","38","2029","RHP","Cleveland Guardians"
"560","Tre' Morgan","691003","45","2026","1B/OF","Tampa Bay Rays"
"561","Andrew Salas","829035","45","2030","OF/SS/2B","Miami Marlins"
"562","Alex Clemmey","806046","45","2027","LHP","Washington Nationals"
"563","Brendan Summerhill","804911","45","2028","OF","Tampa Bay Rays"
"564","Cole Carrigg","694249","45","2026","OF","Colorado Rockies"
"565","Jackson Kent","800600","45","2027","LHP","Washington Nationals"
"566","Drew Beam","701795","45","2027","RHP","Kansas City Royals"
"567","Josiah Hartshorn","815824","45","2029","OF","Chicago Cubs"
"568","Santiago Solarte","836594","45","2031","SS","Miami Marlins"
"569","Gary Gill Hill","804541","45","2027","RHP","Tampa Bay Rays"
"570","Griffin Herring","702622","45","2027","LHP","Colorado Rockies"
"571","Yoel Tejeda Jr.","701347","45","2027","RHP","Washington Nationals"
"572","Adolfo Sanchez","807645","39","2029","OF","Cincinnati Reds"
"573","Dylan Ray","691009","37","2026","SP","ARI"
"574","Jared Karros","689042","37","2027","SP","LAD"
"575","James Hicks","801802","38","2026","RHP","Houston Astros"
"576","Jacob Morrison","804756","37","2027","SP","MIL"
"577","Alexander Garcia","683725","37","2029","SP","CLE"
"578","Ryjeteri Merite","820853","37","2029","SP","CIN"
"579","Ryan Hall","834613","37","2031","SP","DET"
"580","Blake Aita","820832","37","2028","SP","STL"
"581","Henry Baez","692013","45","2026","RHP","Athletics"
"582","Zac Veen","805731","45","2026","OF",""
"583","Marco Raya","694397","45","2026","RHP","Minnesota Twins"
"584","Seong-Jun Kim","834605","45","2030","SS/RHP","Texas Rangers"
"585","Yandel Ricardo","815902","45","2029","SS","Kansas City Royals"
"586","Justin Lamkin","703610","45","2028","LHP","Kansas City Royals"
"587","Elian Rosario","836589","45","2031","OF/3B","Texas Rangers"
"588","Brailer Guerrero","806967","45","2029","OF","Tampa Bay Rays"
"589","Wilber Dotel","696062","45","2026","RHP","Pittsburgh Pirates"
"590","Luis Aguilera","821813","37","2030","SS","DET"
"591","Brett Sears","822412","37","2026","SP","ATL"
"592","Carlos Castillo","807962","37","2032","OF","LAA"
"593","Samuel Munoz","703153","37","2028","LF","LAD"
"594","Brendan Beck","694341","38","2026","RHP","New York Yankees"
"595","Melvin Hernandez","808329","37","2028","SP","MIL"
"596","Nick Potter","830769","38","2028","RHP","Houston Astros"
"597","Jack Cebert","701411","38","2028","RHP","New York Yankees"
"598","Homer Bush Jr.","683344","45","2026","OF","Tampa Bay Rays"
"599","Welbyn Francisca","806988","45","2029","SS","Cleveland Guardians"
"600","Wyatt Sanford","815608","45","2028","SS","Pittsburgh Pirates"
"601","Juan Cabada","829040","45","2030","2B/3B","Chicago Cubs"
"602","Thomas Harrington","802419","45","2026","RHP","Pittsburgh Pirates"
"603","Shotaro Morii","829679","45","2029","SS/RHP","Athletics"
"604","Darell Morel","829716","45","2030","SS","Pittsburgh Pirates"
"605","Luinder Avila","809701","45","2026","RHP","Kansas City Royals"
"606","Xavier Isaac","800060","45","2027","1B","Tampa Bay Rays"
"607","Starlyn De La Cruz","","37","2032","CF","ATL"
"608","Cole Hertzler","826315","38","2028","RHP","Houston Astros"
"609","Bryan Rincon","804858","39","2028","SS","Philadelphia Phillies"
"610","Peter Kussow","828097","38","2029","RHP","New York Mets"
"611","Dylan Smith","681916","38","2026","RHP","Detroit Tigers"
"612","Rory Fox","812431","38","2028","RHP","New York Yankees"
"613","Junior Suriel","829866","37","2031","RF","LAA"
"614","Sebastian Romero","837870","37","2032","LF","CHW"
"615","Ubaldo Soto","808161","38","2029","RHP","Los Angeles Angels"
"616","Ethan Bagwell","815626","38","2028","RHP","Atlanta Braves"
"617","Grant Umberger","802359","37","2027","SP","CHW"
"618","Seaver King","814409","45","2027","SS","Washington Nationals"
"619","Jadher Areinamo","699130","45","2027","INF","Tampa Bay Rays"
"620","Kade Morris","695034","45","2026","RHP","Athletics"
"621","Edgar Montero","815911","45","2030","SS","Athletics"
"622","Dillon Lewis","827665","45","2027","OF","Miami Marlins"
"623","Termarr Johnson","702261","45","2026","2B","Pittsburgh Pirates"
"624","Fabricio Blanco","660799","45","2031","SS","Tampa Bay Rays"
"625","Max Belyeu","803284","45","2028","OF","Colorado Rockies"
"626","Brandon Winokur","806263","45","2028","SS/3B/OF","Minnesota Twins"
"627","Coy James","815983","45","2029","SS","Washington Nationals"
"628","Brandon Birdsell","669361","40","2027","RHP","Chicago Cubs"
"629","Carson DeMartini","701831","45","2027","3B","Philadelphia Phillies"
"630","Esmerlyn Valdez","699013","45","2027","OF/1B","Pittsburgh Pirates"
"631","Ben Kudrna","695667","45","2026","RHP","Kansas City Royals"
"632","Jhancarlos Lara","702910","40","2026","RHP","Atlanta Braves"
"633","Josueth Quinonez","815017","37","2030","CF","DET"
"634","Stiven Marinez","829501","38","2030","SS","New York Yankees"
"635","Anthony Millan","829860","38","2030","OF","Houston Astros"
"636","Ty Floyd","692226","37","2028","SP","CIN"
"637","Nathan Hall","807937","38","2028","RHP","New York Mets"
"638","Angel Bastardo","682785","40","2026","SIRP","TOR"
"639","Alexander Almonte","823012","40","2031","MIRP","NYY"
"640","Juan Carela","683636","40","2027","MIRP","CHW"
"641","Adam Macko","671936","40","2026","MIRP","TOR"
"642","Zach Franklin","702103","40","2026","SIRP","CHW"
"643","Samy Natera Jr.","696519","40","2027","SIRP","LAA"
"644","Tyler Schweitzer","805326","40","2026","MIRP","CHW"
"645","Keythel Key","700322","40","2027","SIRP","LAA"
"646","Ben Simon","815084","40","2027","SIRP","NYM"
"647","Spencer Miles","693686","40","2026","SIRP","TOR"
"648","Brian Curley","826536","40","2027","SIRP","ARI"
"649","Seth Johnson","686751","40","2026","SIRP","PHI"
"650","Zach McCambley","685112","40","2026","SIRP","PHI"
"651","Mason Marriott","696277","40","2027","MIRP","ARI"
"652","Nick Sando","805311","40","2027","SIRP","CIN"
"653","Brad Pacheco","814372","40","2029","SIRP","PHI"
"654","Drew Petska","","40","2027","SIRP","CIN"
"655","Anyer Laureano","703242","40","2028","SIRP","CIN"
"656","Paul Wilson","800618","40","2028","SIRP","DET"
"657","Micah Bucknam","692117","40","2028","MIRP","TOR"
"658","Franco Aleman","680916","40","2026","SIRP","CLE"
"659","Michael Massey","686681","40","2026","SIRP","DET"
"660","T.J. Brock","697813","40","2026","SIRP","TOR"
"661","Yorman Gómez","691414","40","2026","SIRP","CLE"
"662","Connor Cooke","701566","40","2026","SIRP","TOR"
"663","Andrew Hoffmann","694851","40","2026","SIRP","ARI"
"664","Camden Lohman","834242","38","2029","RHP","New York Mets"
"665","Chay Yeager","807410","40","2027","SIRP","TOR"
"666","Hayden Durke","694492","40","2026","SIRP","ARI"
"667","Austin Love","676153","40","2026","SIRP","STL"
"668","Javen Coleman","694495","40","2027","SIRP","TOR"
"669","Yordin Chalas","808054","40","2027","SIRP","ARI"
"670","Hyun-Seok Jang","815794","40","2029","SIRP","LAD"
"671","Tate Kuehner","804249","40","2027","MIRP","MIL"
"672","Sandro Santana","811139","40","2028","SIRP","ARI"
"673","Brady Smith","672280","40","2028","SIRP","LAD"
"674","Fernando Perez","800125","37","2027","SP","TOR"
"675","Andy Mata","833206","37","2031","CF","DET"
"676","Mason Peters","830336","38","2028","LHP","Seattle Mariners"
"677","Marcelo Perez","681041","38","2026","RHP","Seattle Mariners"
"678","Aidan Major","802146","37","2027","SP","CLE"
"679","Asbel Gonzalez","808706","45","2029","OF","Kansas City Royals"
"680","Josh Owens","831384","45","2029","SS/RHP","Texas Rangers"
"681","Trevor Harrison","807314","45","2028","RHP","Tampa Bay Rays"
"682","James Ellwanger","806067","45","2028","RHP","Minnesota Twins"
"683","Tucker Musgrove","814491","40","2027","RHP","San Diego Padres"
"684","Dennis Colleran","701207","40","2027","RHP","Kansas City Royals"
"685","Robinson Ortiz","673662","38","2026","LHP","Seattle Mariners"
"686","Edward Lantigua","815928","37","2030","LF","NYM"
"687","Gabel Pentecost","834872","38","2028","RHP","Houston Astros"
"688","James Triantos","701649","45","2026","2B/OF","Chicago Cubs"
"689","Luke Dickerson","815380","45","2028","SS/2B","Washington Nationals"
"690","Sammy Stafura","806230","45","2028","SS","Pittsburgh Pirates"
"691","Aron Estrada","800406","45","2027","2B/OF","Baltimore Orioles"
"692","Yordany De Los Santos","703154","45","2027","SS/3B/2B","Pittsburgh Pirates"
"693","Cooper Flemming","828237","45","2029","SS","Tampa Bay Rays"
"694","Zane Taylor","823990","40","2027","RHP","Athletics"
"695","Nick Yorke","694377","45","2026","2B/OF",""
"696","Easton Carmichael","702695","45","2028","C","Pittsburgh Pirates"
"697","Leandro Lopez","699214","45","2026","RHP","Texas Rangers"
"698","Keyner Martinez","815212","45","2028","RHP","San Francisco Giants"
"699","Adrian Bohorquez","807974","45","2027","RHP","Minnesota Twins"
"700","Robert Calaz","806978","45","2028","OF","Colorado Rockies"
"701","Alberto Laroche","823929","40","2030","RHP","San Francisco Giants"
"702","Ben Abeldt","702727","40","2028","LHP","Texas Rangers"
"703","Freddy Contreras","830469","40","2031","RHP","Kansas City Royals"
"704","Pico Kohn","695560","40","2028","LHP","New York Yankees"
"705","John Klein","804619","45","2026","RHP","Minnesota Twins"
"706","Aidan West","828140","37","2031","2B","LAD"
"707","Eduardo Rojas","821672","37","2030","C","LAD"
"708","Jose Chirinos","800452","37","2028","SP","NYM"
"709","Hayden Harris","802686","38","2026","LHP","Atlanta Braves"
"710","Pedro Ramírez","699393","45","2026","3B/2B","Chicago Cubs"
"711","Nate Snead","805422","40","2028","RHP","Los Angeles Angels"
"712","Karson Milbrandt","703596","45","2027","RHP","Miami Marlins"
"713","Jose Perdomo","815899","38","2029","SS","Atlanta Braves"
"714","Aaron Walton","830239","38","2028","OF","Cleveland Guardians"
"715","Austin Overn","702556","45","2027","OF","Tampa Bay Rays"
"716","Trevor Cohen","701906","45","2028","OF","San Francisco Giants"
"717","Cameron Cauley","695508","45","2026","SS/OF/2B","Texas Rangers"
"718","Joshua Kuroda-Grauer","811965","45","2027","SS","Athletics"
"719","Deivid Coronil","829060","45","2030","3B/SS","San Diego Padres"
"720","Jose Luis Acevedo","836593","40","2031","SS","Baltimore Orioles"
"721","Emiliano Teodo","693713","40","2026","RHP","Texas Rangers"
"722","Hendry Mendez","694230","45","2026","OF","Minnesota Twins"
"723","Trent Harris","805345","40","2026","RHP","San Francisco Giants"
"724","Dom Keegan","681371","45","2026","C","Tampa Bay Rays"
"725","Omar Alfonzo","692657","45","2027","C","Pittsburgh Pirates"
"726","Dylan Dreiling","702662","45","2027","OF","Texas Rangers"
"727","Josh Bostick","701241","40","2028","RHP","San Francisco Giants"
"728","Brandon Compton","703680","45","2028","OF","Miami Marlins"
"729","Luis De La Torre","815219","40","2028","LHP","San Francisco Giants"
"730","Nick Mitchell","814455","37","2028","CF","CLE"
"731","Bryan Torres","663494","37","2026","2B/LF","STL"
"732","Ruben Gallego","","37","2032","SS","ARI"
"733","K.C. Hunt","687268","37","2027","SP","MIL"
"734","Herick Hernandez","803349","38","2027","LHP","Atlanta Braves"
"735","Michael Morales","691786","38","2026","RHP","Seattle Mariners"
"736","Cleiner Ramirez","","37","2032","OF","NYM"
"737","Elian De La Cruz","829066","37","2031","RF","ARI"
"738","Braden Davis","801078","38","2027","LHP","St. Louis Cardinals"
"739","Chase Mobley","813949","37","2029","SP","CLE"
"740","Gabriel Reyes","694050","37","2027","SP","DET"
"741","Jose Davila","692369","37","2028","SP","STL"
"742","Owen Ayers","689196","45","2027","C","Chicago Cubs"
"743","Sterlin Thompson","694514","45","2026","OF","Colorado Rockies"
"744","Murf Gray","809092","45","2028","3B","Pittsburgh Pirates"
"745","Rafael Flores Jr.","804668","45","2026","C/1B","Pittsburgh Pirates"
"746","Yohanfer Santana","808690","40","2030","RHP","Miami Marlins"
"747","Xavier Mitchell","815718","40","2029","LHP","Los Angeles Angels"
"748","Carlos De La Rosa","822215","40","2030","LHP","San Francisco Giants"
"749","Chia-Shi Shen","828430","40","2028","RHP","Seattle Mariners"
"750","Sam Shaw","802511","37","2028","LF","TOR"
"751","Jase Mitchell","834234","38","2029","C","Houston Astros"
"752","Ivan Luciano","813930","37","2030","C","ARI"
"753","Jack Gurevitch","813668","38","2028","1B","St. Louis Cardinals"
"754","Carson Whisenhunt","687931","45","2026","LHP","San Francisco Giants"
"755","Hunter Patteson","687593","40","2027","LHP","Kansas City Royals"
"756","Carter Baumler","691945","40","2026","RHP",""
"757","Johan Geraldo","837852","40","2031","SS","Chicago Cubs"
"758","Gunnar Hoglund","680684","40","2026","RHP",""
"759","Garrett Hawkins","678184","40","2026","RHP","San Diego Padres"
"760","Brett Bateman","703520","40","2027","OF","Chicago Cubs"
"761","Charlie Beilenson","810897","40","2026","RHP","Seattle Mariners"
"762","Jacob Johnson","835375","40","2029","RHP","Texas Rangers"
"763","Stharlin Torres","820941","40","2029","RHP","Cincinnati Reds"
"764","Diego Serna","835315","40","2031","LHP","San Diego Padres"
"765","Jackson Cox","702484","40","2028","RHP","Colorado Rockies"
"766","Eduarniel Núñez","674384","40","2026","RHP","Athletics"
"767","Bryan Balzer","808893","40","2028","RHP","San Diego Padres"
"768","Elaineiker Coronado","830398","37","2031","2B","TOR"
"769","Lucas Kelly","805220","40","2028","RHP","Seattle Mariners"
"770","Handelfry Encarnacion","821136","37","2029","CF","MIL"
"771","Won-Bin Cho","800231","37","2028","RF","STL"
"772","Sebastian Dos Santos","829741","37","2031","2B","STL"
"773","Yulian Barreto","829905","40","2030","2B","San Francisco Giants"
"774","Luis Cova","815909","40","2029","OF","Miami Marlins"
"775","Jorge Quintana","815894","45","2029","SS","San Diego Padres"
"776","Juaron Watts-Brown","695033","45","2026","RHP","Baltimore Orioles"
"777","Mikey Romero","702540","45","2026","INF","Boston Red Sox"
"778","Grayson Grinsell","804852","40","2028","LHP","Detroit Tigers"
"779","Aiden May","801995","40","2027","RHP","Miami Marlins"
"780","Brock Rodden","801126","38","2026","2B/3B","Seattle Mariners"
"781","Jaden Hamm","811290","38","2027","RHP","Detroit Tigers"
"782","Brendan Girton","694858","40","2027","RHP","New York Mets"
"783","Luis Arana","829854","40","2030","SS/3B","Miami Marlins"
"784","Jack Wheeler","828087","40","2029","3B","Texas Rangers"
"785","Ismael Agreda","697795","40","2028","RHP","Texas Rangers"
"786","PJ Morlando","703563","45","2028","OF","Miami Marlins"
"787","Mason Neville","702563","40","2028","OF","Cincinnati Reds"
"788","Carson Roccaforte","811287","40","2027","OF","Kansas City Royals"
"789","Roc Riggio","691792","45","2026","2B","Colorado Rockies"
"790","Chen Zhong-Ao Zhuang","800018","40","2026","RHP","Athletics"
"791","Parks Harber","692238","45","2027","3B/1B","San Francisco Giants"
"792","Austin Gordon","803135","40","2027","RHP","Los Angeles Angels"
"793","Ethan Petry","701337","45","2028","OF/1B","Washington Nationals"
"794","Michael Salina","823745","40","2028","RHP","San Diego Padres"
"795","RJ Petit","696275","40","2026","RHP",""
"796","Carlos Carrion","","37","2032","3B","STL"
"797","Jose Manon","825495","38","2031","SS","Atlanta Braves"
"798","Devin Saltiban","813880","38","2028","OF/2B","Philadelphia Phillies"
"799","Landon Hodge","821933","37","2029","C","CHW"
"800","Drue Hackenberg","802357","38","2026","RHP","Atlanta Braves"
"801","Tyler Cleveland","804663","38","2026","RHP","Seattle Mariners"
"802","Gage Ziehl","695721","37","2028","SP","BOS"
"803","Brendan Jones","800957","40","2027","OF","Miami Marlins"
"804","Yeremy Cabrera","800393","40","2028","OF","Washington Nationals"
"805","Marconi German","829699","40","2030","2B/SS","Washington Nationals"
"806","Gavin Turley","702504","40","2028","OF","Athletics"
"807","Wilfri De La Cruz","692417","40","2030","SS","Baltimore Orioles"
"808","Payton Martin","806293","40","2027","RHP","Los Angeles Dodgers"
"809","Lan-Hong Su","837088","40","2029","RHP","San Diego Padres"
"810","Taitn Gray","828685","40","2029","1B/OF","Tampa Bay Rays"
"811","Gregory Pio","","37","2032","CF","SEA"
"812","Jose Fernandez","699912","37","2027","SS","ARI"
"813","Ricki Moneys","","37","2032","3B","MIL"
"814","Dillon Head","702977","45","2028","OF","Miami Marlins"
"815","Andrew Pinckney","687605","40","2026","OF","Washington Nationals"
"816","Joniel Hernandez","836592","40","2031","SS","San Diego Padres"
"817","Ethan Hedges","805260","40","2028","3B","Colorado Rockies"
"818","Warren Calcaño","829071","40","2030","SS","Kansas City Royals"
"819","Trevor McDonald","686790","40","2026","RHP","San Francisco Giants"
"820","Khristian Curtis","694753","40","2027","RHP","Pittsburgh Pirates"
"821","Svert Reinoso","836614","40","2031","SS","Cleveland Guardians"
"822","Samil Serrano","836603","40","2031","OF","Washington Nationals"
"823","JT Quinn","802411","40","2028","RHP","Baltimore Orioles"
"824","Ty Harvey","829210","40","2029","C","San Diego Padres"
"825","Shane Panzini","695556","40","2026","RHP","Kansas City Royals"
"826","Nate Payne","827626","40","2028","LHP","Miami Marlins"
"827","Max Williams","703637","40","2028","OF","Miami Marlins"
"828","Dominick Reid","805255","40","2028","RHP","Chicago Cubs"
"829","Santiago Castellanos","829764","40","2030","RHP","Minnesota Twins"
"830","Parker Smith","809789","40","2027","RHP","Houston Astros"
"831","Gerelmi Maldonado","698965","40","2028","RHP","San Francisco Giants"
"832","Andri Hidalgo","836602","40","2031","LHP","Baltimore Orioles"
"833","Reinold Navarro","821116","40","2029","LHP","Pittsburgh Pirates"
"834","Mac Heuer","806121","40","2028","RHP","New York Yankees"
"835","Po-Chun Lin","806836","40","2029","RHP","Seattle Mariners"
"836","Mason McConnaughey","822415","40","2029","RHP","Texas Rangers"
"837","Matt Barr","832699","40","2029","RHP","Minnesota Twins"
"838","Elijah Hainline","809944","38","2027","INF","Los Angeles Dodgers"
"839","Angel Carmona","830013","37","2030","SS","ATL"
"840","Ronald Hernandez","698933","37","2028","C","NYM"
"841","Lorenzo Meola","823768","40","2028","SS/2B","San Francisco Giants"
"842","Ramsey David","687062","40","2027","RHP","Houston Astros"
"843","Steven Echavarria","806064","40","2027","RHP","Athletics"
"844","Ronny Cruz","826723","40","2029","SS","Washington Nationals"
"845","Kavares Tears","701837","40","2028","OF","San Diego Padres"
"846","Ramcell Medina","829096","40","2030","SS/3B","Kansas City Royals"
"847","Gabriel Hughes","687312","40","2026","RHP","Colorado Rockies"
"848","C.J. Culpepper","690217","40","2026","RHP","Minnesota Twins"
"849","Cole Mathis","695573","40","2028","1B/3B","Chicago Cubs"
"850","Trei Cruz","669360","38","2026","OF/INF","Detroit Tigers"
"851","Ryan Wideman","834240","40","2028","OF","San Diego Padres"
"852","Ryan Lasko","805782","40","2027","OF","Athletics"
"853","Fernando Cruz","815890","40","2030","SS/2B","Chicago Cubs"
"854","Lisbel Diaz","815464","40","2028","OF","San Francisco Giants"
"855","Christian Franklin","681047","40","2026","OF","Washington Nationals"
"856","Jack Brannigan","687394","40","2026","SS/3B","Pittsburgh Pirates"
"857","Paxton Kling","702265","40","2028","OF","Texas Rangers"
"858","Cristian Arguelles","821692","40","2030","OF","Colorado Rockies"
"859","Daniel Vazquez","694187","40","2027","SS","Kansas City Royals"
"860","Jose Olivares","699276","40","2027","RHP","Minnesota Twins"
"861","Wilson Rodriguez","815147","40","2028","OF","New York Yankees"
"862","Breyson Guedez","829052","40","2029","OF","Athletics"
"863","Cristian Hernandez","694183","40","2027","SS/2B","Miami Marlins"
"864","Cole Messina","701783","40","2027","C","Colorado Rockies"
"865","Riley Kelly","804465","40","2028","RHP","Colorado Rockies"
"866","Richard De Los Santos","827342","40","2031","SS","Colorado Rockies"
"867","Core Jackson","692110","40","2028","SS/2B","New York Yankees"
"868","Daniel Susac","691740","40","2026","C",""
"869","Kannon Kemp","807748","40","2028","RHP","San Diego Padres"
"870","Kenya Huggins","695761","40","2027","RHP","Athletics"
"871","Josh Trentadue","815048","40","2027","LHP","Texas Rangers"
